Team,2024,Last 3,Last 1,Home,Away,2023
Okla City,102.8,99.0,92.0,103.3,102.3,111.2
Orlando,103.2,98.7,94.0,101.0,105.2,107.4
Houston,106.7,107.7,115.0,105.5,108.1,113.2
LA Clippers,107.9,109.7,108.0,105.4,110.4,112.0
Minnesota,108.0,114.3,106.0,106.8,109.1,106.0
Boston,108.3,102.0,105.0,108.9,107.7,107.6
Milwaukee,110.1,107.3,104.0,110.5,109.8,116.1
New York,110.5,119.7,103.0,107.7,112.6,108.7
Miami,110.5,129.0,123.0,109.2,111.7,108.1
Cleveland,110.7,112.3,105.0,108.9,112.8,109.4
Philadelphia,110.7,114.0,109.0,110.8,110.6,111.2
Golden State,111.0,115.7,129.0,111.2,110.8,115.2
San Antonio,111.5,115.3,114.0,112.1,110.9,118.6
Dallas,112.3,121.0,119.0,107.9,115.8,113.0
Charlotte,112.5,109.3,115.0,110.6,114.6,116.8
Brooklyn,113.5,115.3,113.0,113.8,113.3,113.3
Detroit,113.8,104.7,115.0,113.8,113.7,119.0
Sacramento,113.8,116.7,118.0,113.7,113.9,114.5
LA Lakers,113.9,109.0,119.0,112.9,114.7,116.7
Phoenix,113.9,114.0,99.0,111.6,116.6,113.4
Memphis,114.7,121.0,104.0,110.6,119.1,112.8
Indiana,116.1,107.3,99.0,115.9,116.2,119.0
Portland,116.8,111.3,118.0,120.5,113.7,115.4
Denver,117.2,114.7,111.0,116.9,117.5,108.9
New Orleans,117.5,112.3,98.0,117.2,117.8,110.3
Utah,118.4,103.7,92.0,118.0,118.6,120.5
Toronto,119.0,115.7,128.0,118.3,119.8,118.8
Atlanta,119.7,129.7,131.0,120.6,118.9,120.6
Chicago,121.0,120.3,110.0,120.3,121.6,113.7
Washington,121.8,116.3,110.0,121.3,122.6,123.0
