Team,2024,Last 3,Last 1,Home,Away,2023
Memphis,123.1,121.7,119.0,123.9,122.3,105.8
Cleveland,122.5,123.7,115.0,122.8,122.1,110.8
Denver,120.8,123.7,122.0,120.9,120.7,113.2
Boston,118.5,106.3,92.0,119.1,117.9,118.4
Chicago,117.8,120.0,114.0,115.3,120.2,112.2
New York,117.2,109.0,94.0,117.6,116.8,112.4
Atlanta,117.1,109.0,105.0,119.4,115.1,118.3
Dallas,116.4,108.3,104.0,115.8,116.9,115.3
Sacramento,116.0,130.0,123.0,115.7,116.4,116.4
Indiana,115.2,122.3,113.0,117.7,113.6,121.6
Okla City,114.2,112.7,105.0,116.6,111.7,118.5
Milwaukee,112.3,113.3,128.0,114.1,110.6,118.4
Houston,112.3,105.0,119.0,113.0,111.4,114.3
LA Lakers,112.3,116.0,115.0,116.5,108.3,117.3
Golden State,112.2,119.7,99.0,112.3,112.1,117.5
Phoenix,112.0,109.7,109.0,112.3,111.6,115.6
Detroit,112.0,111.7,118.0,110.9,112.9,109.9
San Antonio,111.4,111.3,110.0,114.6,107.5,112.1
Utah,111.3,114.7,105.0,108.3,113.4,115.7
Miami,111.3,111.0,118.0,112.1,110.5,109.1
Toronto,111.0,110.3,104.0,113.0,108.6,112.4
Minnesota,109.2,109.3,108.0,109.4,109.1,112.1
LA Clippers,109.1,111.7,106.0,111.1,107.1,114.6
Washington,108.9,114.3,98.0,110.3,107.1,113.7
Portland,108.1,108.7,115.0,113.4,103.6,106.4
Brooklyn,107.5,102.0,99.0,105.1,109.5,110.4
New Orleans,107.5,116.7,110.0,112.3,102.2,113.7
Philadelphia,107.4,109.0,99.0,105.3,109.1,114.1
Charlotte,105.8,102.3,105.0,105.7,105.9,106.6
Orlando,105.2,100.3,103.0,106.8,103.8,109.7
