,Rank,Team,2024,Last 3,Last 1,Home,Away,2023
0,1,Okla City,102.8,99.0,92.0,103.3,102.3,111.2
1,2,Orlando,103.2,98.7,94.0,101.0,105.2,107.4
2,3,Houston,106.7,107.7,115.0,105.5,108.1,113.2
3,4,LA Clippers,107.9,109.7,108.0,105.4,110.4,112.0
4,5,Minnesota,108.0,114.3,106.0,106.8,109.1,106.0
5,6,Boston,108.3,102.0,105.0,108.9,107.7,107.6
6,7,Milwaukee,110.1,107.3,104.0,110.5,109.8,116.1
7,8,New York,110.5,119.7,103.0,107.7,112.6,108.7
8,9,Miami,110.5,129.0,123.0,109.2,111.7,108.1
9,10,Cleveland,110.7,112.3,105.0,108.9,112.8,109.4
10,11,Philadelphia,110.7,114.0,109.0,110.8,110.6,111.2
11,12,Golden State,111.0,115.7,129.0,111.2,110.8,115.2
12,13,San Antonio,111.5,115.3,114.0,112.1,110.9,118.6
13,14,Dallas,112.3,121.0,119.0,107.9,115.8,113.0
14,15,Charlotte,112.5,109.3,115.0,110.6,114.6,116.8
15,16,Brooklyn,113.5,115.3,113.0,113.8,113.3,113.3
16,17,Detroit,113.8,104.7,115.0,113.8,113.7,119.0
17,18,Sacramento,113.8,116.7,118.0,113.7,113.9,114.5
18,19,LA Lakers,113.9,109.0,119.0,112.9,114.7,116.7
19,20,Phoenix,113.9,114.0,99.0,111.6,116.6,113.4
20,21,Memphis,114.7,121.0,104.0,110.6,119.1,112.8
21,22,Indiana,116.1,107.3,99.0,115.9,116.2,119.0
22,23,Portland,116.8,111.3,118.0,120.5,113.7,115.4
23,24,Denver,117.2,114.7,111.0,116.9,117.5,108.9
24,25,New Orleans,117.5,112.3,98.0,117.2,117.8,110.3
25,26,Utah,118.4,103.7,92.0,118.0,118.6,120.5
26,27,Toronto,119.0,115.7,128.0,118.3,119.8,118.8
27,28,Atlanta,119.7,129.7,131.0,120.6,118.9,120.6
28,29,Chicago,121.0,120.3,110.0,120.3,121.6,113.7
29,30,Washington,121.8,116.3,110.0,121.3,122.6,123.0
