Team,2024,Last 3,Last 1,Home,Away,2023
Okla City,102.9,100.3,105.0,103.9,102.1,111.2
Orlando,103.9,107.7,104.0,101.1,106.3,107.4
Houston,106.3,108.0,101.0,104.6,107.9,113.2
Minnesota,107.2,121.0,117.0,105.8,108.6,106.0
LA Clippers,107.6,106.0,110.0,106.3,109.1,112.0
Miami,109.4,106.7,95.0,106.1,112.9,108.1
Boston,109.6,107.7,108.0,110.1,108.9,107.6
New York,109.9,108.3,125.0,107.9,111.6,108.7
Milwaukee,110.1,105.3,91.0,110.7,109.6,116.1
Cleveland,110.2,104.3,113.0,109.1,111.8,109.4
Philadelphia,110.4,110.0,106.0,110.9,109.8,111.2
Golden State,110.8,119.3,111.0,110.2,111.4,115.2
Dallas,112.0,107.7,108.0,106.3,117.4,113.0
San Antonio,112.7,110.3,111.0,112.9,112.2,118.6
Memphis,113.0,106.3,114.0,110.1,116.8,112.8
Charlotte,113.0,115.0,114.0,110.6,116.0,116.8
Sacramento,113.6,112.7,122.0,113.5,113.6,114.5
LA Lakers,113.8,105.3,117.0,112.9,114.6,116.7
Brooklyn,114.0,103.0,110.0,114.5,113.6,113.3
Detroit,114.6,121.7,114.0,117.2,112.6,119.0
Phoenix,115.1,123.3,117.0,112.9,117.8,113.4
Indiana,115.9,103.7,105.0,115.8,115.9,119.0
Denver,116.3,115.0,90.0,114.0,118.2,108.9
Portland,116.8,123.3,132.0,120.1,114.2,115.4
New Orleans,117.2,123.0,132.0,115.3,119.1,110.3
Toronto,117.3,118.0,139.0,117.7,116.9,118.8
Atlanta,119.0,121.7,104.0,120.5,117.5,120.6
Utah,119.5,112.3,124.0,117.2,121.2,120.5
Chicago,121.1,114.3,112.0,121.3,121.0,113.7
Washington,122.2,116.3,123.0,122.6,121.8,123.0
